is.lawj,is.policyj,am.author,authors,publication,volume,year,monthorseason,page.start,page.end,title,is.mag,is.legisbrief,is.pod,is.50statesurvey,is.blog,is.thinktank,notes
0,0,1,Nicholas Birdsong,State Legislatures Magazine,,2018,September,,,Is humility a vice or a virtue for elected leaders?,1,0,0,0,0,0,
0,0,1,Nicholas Birdsong,State Legislatures Magazine,,2018,July,,,Do legislators have a right to privacy?,1,0,0,0,0,0,
0,0,1,Nicholas Birdsong,State Legislatures Magazine,,2018,June,,,Why do people do unethical things?,1,0,0,0,0,0,
0,0,1,Nicholas Birdsong,State Legislatures Magazine,,2018,May,,,Why do legislative ethics matter?,1,0,0,0,0,0,
0,0,1,Nicholas Birdsong,State Legislatures Magazine,,2018,April,,,Can you spot ethical pitfalls?,1,0,0,0,0,0,
0,0,1,Nicholas Birdsong,State Legislatures Magazine,,2018,March,,,How does ethics oversight work?,1,0,0,0,0,0,
0,0,1,Nicholas Birdsong,State Legislatures Magazine,,2017,February,,,When should a legislator use a blind trust?,1,0,0,0,0,0,
0,0,1,Nicholas Birdsong,Hearsay Magazine,,2017,Spring,,,Research in the era of ‘fake news.’,1,0,0,0,0,0,
0,0,1,Nicholas Birdsong,NCSL LegisBrief,,2020,July,,,Balancing Legislative and Executive Powers in Emergencies,0,1,0,0,0,0,
0,0,1,Nicholas Birdsong,NCSL LegisBrief,,2020,February,,,Limiting political activity for nonpartisan staff,0,1,0,0,0,0,
0,0,1,Nicholas Birdsong,NCSL LegisBrief,,2019,August,,,Reinforcing government ethics with layered oversight,0,1,0,0,0,0,
0,0,1,Nicholas Birdsong,NCSL LegisBrief,,2019,January,,,Preventing conflicts of interest with blind trusts,0,1,0,0,0,0,
0,0,1,Nicholas Birdsong and Megan McClure,NCSL Podcast,,2020,September,,,Building Democracy Episode 3: Westward Expansion,0,0,1,0,0,0,
0,0,1,Nicholas Birdsong and Megan McClure and John Mahoney,NCSL Podcast,,2020,April,,,Building Democracy Episode 2: The Story of Legislatures Through the Revolution,0,0,1,0,0,0,
0,0,1,Nicholas Birdsong and Megan McClure and John Mahoney,NCSL Podcast,,2020,January,,,Building Democracy Episode 1: The Story of Legislatures,0,0,1,0,0,0,
0,0,1,Nicholas Birdsong,NCSL.org,,2020,May,,,Legislative Oversight of Emergency Executive Powers,0,0,0,1,0,0,
0,0,1,Nicholas Birdsong and Megan McClure,The NCSL Blog,,2020,April,,,Building Democracy Podcast Episode 2: The Story of Legislatures Through the Revolution,0,0,0,0,1,0,
0,0,1,Nicholas Birdsong,NCSL.org,,2020,April,,,Coronavirus and State Legislatures in the News,0,0,0,1,0,0,
0,0,1,Nicholas Birdsong,NCSL.org,,2019,October,,,Dual Office-Holding Restrictions,0,0,0,1,0,0,
0,0,1,Nicholas Birdsong,The NCSL Blog,,2019,July,,,"POTUS Can’t Block Critics on Twitter, Says Federal Appeals Court",0,0,0,0,1,0,
0,0,1,Nicholas Birdsong,The NCSL Blog,,2019,July,,,6th Circuit Finds Ethics Laws Constitutional,0,0,0,0,1,0,
0,0,1,Nicholas Birdsong,NCSL.org,,2019,April,,,Voting Recusal Provisions,0,0,0,1,0,0,
0,0,1,Nicholas Birdsong,NCSL.org,,2019,March,,,Conflict of Interest Definitions,0,0,0,1,0,0,
0,0,1,Nicholas Birdsong,NCSL.org,,2019,February,,,Representing Others Before Government,0,0,0,1,0,0,
0,0,1,Nicholas Birdsong,NCSL.org,,2019,February,,,State Ethics Oversight Agencies,0,0,0,1,0,0,
0,0,1,Nicholas Birdsong,NCSL.org,,2019,February,,,Revolving Door Prohibitions,0,0,0,1,0,0,
0,0,1,Nicholas Birdsong,NCSL.org,,2019,February,,,Recovery of Legal Fees: Frivolous or Unsuccessful Complaints,0,0,0,1,0,0,
0,0,1,Nicholas Birdsong,NCSL.org,,2019,January,,,State Ethics Commissions: Powers and Duties,0,0,0,1,0,0,
0,0,1,Nicholas Birdsong,NCSL.org,,2018,December,,,Legislators' Personal Financial Disclosures: Client Identification Requirements,0,0,0,1,0,0,
0,0,1,Nicholas Birdsong,NCSL.org,,2018,December,,,Blind Trusts,0,0,0,1,0,0,
0,0,1,Nicholas Birdsong,NCSL.org,,2018,November,,,Legislators' Personal Financial Disclosures Income Requirements,0,0,0,1,0,0,
0,0,1,Nicholas Birdsong,NCSL.org,,2018,November,,,Legislator Gift Restrictions Overview,0,0,0,1,0,0,
0,0,1,Nicholas Birdsong,NCSL.org,,2018,November,,,Legislators' Personal Financial Disclosures: Household Member Information,0,0,0,1,0,0,
0,0,1,Nicholas Birdsong,NCSL.org,,2018,October,,,Lobbyist Registration Requirements,0,0,0,1,0,0,
0,0,1,Nicholas Birdsong,NCSL.org,,2018,October,,,State Ethics Commissions: Jurisdiction,0,0,0,1,0,0,
0,0,1,Nicholas Birdsong,NCSL.org,,2018,October,,,Nepotism Restrictions for State Legislatures,0,0,0,1,0,0,
0,0,1,Nicholas Birdsong,NCSL.org,,2018,October,,,Honorarium Restrictions,0,0,0,1,0,0,
0,0,1,Nicholas Birdsong,NCSL.org,,2018,August,,,How States Define 'Lobbying' and 'Lobbyist',0,0,0,1,0,0,
0,0,1,Nicholas Birdsong,NCSL.org,,2018,August,,,Limitations on Public Funds for Lobbying,0,0,0,1,0,0,
0,0,1,Nicholas Birdsong,NCSL.org,,2018,July,,,Legislators' Personal Financial Disclosures: Agency Connections,0,0,0,1,0,0,
0,0,1,Nicholas Birdsong,NCSL.org,,2018,July,,,Penalties for Violations of State Ethics and Public Corruption Laws,0,0,0,1,0,0,
0,0,1,Nicholas Birdsong,Seven Pillars Institute for Global Finance and Ethics,,2015,February,,,The Consequences of Economic Inequality,0,0,0,0,0,1,"featured in The Wealth Gap, Greenhaven Publishing (2017), ISBN: 1534500340"
